s(1/A)      f0_exact        f0_model        f0_exact-f0_model
2.190000  3.4266536605e-04  3.4266637247e-04  -1.006e-09
2.200000  3.3659045578e-04  3.3659335336e-04  -2.898e-09
2.210000  3.3064908395e-04  3.3065381445e-04  -4.731e-09
2.220000  3.2483775631e-04  3.2484423572e-04  -6.479e-09
2.230000  3.1915308445e-04  3.1916120478e-04  -8.120e-09
2.240000  3.1359178213e-04  3.1360141361e-04  -9.631e-09
2.250000  3.0815066180e-04  3.0816165523e-04  -1.099e-08
2.260000  3.0282663123e-04  3.0283882058e-04  -1.219e-08
2.270000  2.9761669031e-04  2.9762989547e-04  -1.321e-08
2.280000  2.9251792789e-04  2.9253195751e-04  -1.403e-08
2.290000  2.8752751883e-04  2.8754217323e-04  -1.465e-08
2.300000  2.8264272110e-04  2.8265779522e-04  -1.507e-08
2.310000  2.7786087300e-04  2.7787615933e-04  -1.529e-08
2.320000  2.7317939051e-04  2.7319468192e-04  -1.529e-08
2.330000  2.6859576470e-04  2.6861085723e-04  -1.509e-08
2.340000  2.6410755928e-04  2.6412225478e-04  -1.470e-08
2.350000  2.5971240816e-04  2.5972651678e-04  -1.411e-08
2.360000  2.5540801325e-04  2.5542135568e-04  -1.334e-08
2.370000  2.5119214214e-04  2.5120455178e-04  -1.241e-08
2.380000  2.4706262603e-04  2.4707395078e-04  -1.132e-08
2.390000  2.4301735768e-04  2.4302746159e-04  -1.010e-08
2.400000  2.3905428938e-04  2.3906305399e-04  -8.765e-09
2.410000  2.3517143108e-04  2.3517875655e-04  -7.325e-09
2.420000  2.3136684856e-04  2.3137265446e-04  -5.806e-09
2.430000  2.2763866158e-04  2.2764288750e-04  -4.226e-09
2.440000  2.2398504228e-04  2.2398764809e-04  -2.606e-09
2.450000  2.2040421343e-04  2.2040517934e-04  -9.659e-10
2.460000  2.1689444687e-04  2.1689377325e-04  6.736e-10
2.470000  2.1345406199e-04  2.1345176888e-04  2.293e-09
2.480000  2.1008142424e-04  2.1007755069e-04  3.874e-09
2.490000  2.0677494366e-04  2.0676954689e-04  5.397e-09
2.500000  2.0353307356e-04  2.0352622786e-04  6.846e-09
2.510000  2.0035430912e-04  2.0034610464e-04  8.204e-09
2.520000  1.9723718615e-04  1.9722772750e-04  9.459e-09
2.530000  1.9418027985e-04  1.9416968455e-04  1.060e-08
2.540000  1.9118220354e-04  1.9117060049e-04  1.160e-08
2.550000  1.8824160758e-04  1.8822913528e-04  1.247e-08
2.560000  1.8535717821e-04  1.8534398303e-04  1.320e-08
2.570000  1.8252763647e-04  1.8251387083e-04  1.377e-08
2.580000  1.7975173716e-04  1.7973755770e-04  1.418e-08
2.590000  1.7702826781e-04  1.7701383361e-04  1.443e-08
2.600000  1.7435604773e-04  1.7434151847e-04  1.453e-08
2.610000  1.7173392705e-04  1.7171946128e-04  1.447e-08
2.620000  1.6916078580e-04  1.6914653923e-04  1.425e-08
2.630000  1.6663553305e-04  1.6662165695e-04  1.388e-08
2.640000  1.6415710601e-04  1.6414374568e-04  1.336e-08
2.650000  1.6172446927e-04  1.6171176259e-04  1.271e-08
2.660000  1.5933661394e-04  1.5932469011e-04  1.192e-08
2.670000  1.5699255692e-04  1.5698153523e-04  1.102e-08
2.680000  1.5469134010e-04  1.5468132894e-04  1.001e-08
2.690000  1.5243202972e-04  1.5242312561e-04  8.904e-09
2.700000  1.5021371559e-04  1.5020600246e-04  7.713e-09
2.710000  1.4803551044e-04  1.4802905902e-04  6.451e-09
2.720000  1.4589654929e-04  1.4589141663e-04  5.133e-09
2.730000  1.4379598877e-04  1.4379221794e-04  3.771e-09
2.740000  1.4173300654e-04  1.4173062646e-04  2.380e-09
2.750000  1.3970680068e-04  1.3970582610e-04  9.746e-10
2.760000  1.3771658912e-04  1.3771702075e-04  -4.316e-10
2.770000  1.3576160907e-04  1.3576343384e-04  -1.825e-09
2.780000  1.3384111650e-04  1.3384430792e-04  -3.191e-09
2.790000  1.3195438559e-04  1.3195890430e-04  -4.519e-09
2.800000  1.3010070826e-04  1.3010650259e-04  -5.794e-09
2.810000  1.2827939363e-04  1.2828640039e-04  -7.007e-09
2.820000  1.2648976758e-04  1.2649791281e-04  -8.145e-09
2.830000  1.2473117229e-04  1.2474037219e-04  -9.200e-09
2.840000  1.2300296577e-04  1.2301312765e-04  -1.016e-08
2.850000  1.2130452144e-04  1.2131554475e-04  -1.102e-08
2.860000  1.1963522770e-04  1.1964700513e-04  -1.178e-08
2.870000  1.1799448754e-04  1.1800690608e-04  -1.242e-08
2.880000  1.1638171814e-04  1.1639466026e-04  -1.294e-08
2.890000  1.1479635046e-04  1.1480969525e-04  -1.334e-08
2.900000  1.1323782892e-04  1.1325145322e-04  -1.362e-08
2.910000  1.1170561099e-04  1.1171939058e-04  -1.378e-08
2.920000  1.1019916686e-04  1.1021297756e-04  -1.381e-08
2.930000  1.0871797911e-04  1.0873169791e-04  -1.372e-08
2.940000  1.0726154237e-04  1.0727504847e-04  -1.351e-08
2.950000  1.0582936301e-04  1.0584253887e-04  -1.318e-08
2.960000  1.0442095882e-04  1.0443369110e-04  -1.273e-08
2.970000  1.0303585870e-04  1.0304803923e-04  -1.218e-08
2.980000  1.0167360241e-04  1.0168512897e-04  -1.153e-08
2.990000  1.0033374023e-04  1.0034451740e-04  -1.078e-08
3.000000  9.9015832738e-05  9.9025772536e-05  -9.940e-09
3.010000  9.7719450497e-05  9.7728473052e-05  -9.023e-09
3.020000  9.6444173834e-05  9.6452207905e-05  -8.034e-09
3.030000  9.5189592567e-05  9.5196576004e-05  -6.983e-09
3.040000  9.3955305766e-05  9.3961185884e-05  -5.880e-09
3.050000  9.2740921516e-05  9.2745655380e-05  -4.734e-09
3.060000  9.1546056689e-05  9.1549611309e-05  -3.555e-09
3.070000  9.0370336712e-05  9.0372689159e-05  -2.352e-09
3.080000  8.9213395361e-05  8.9214532791e-05  -1.137e-09
3.090000  8.8074874540e-05  8.8074794140e-05  8.040e-11
3.100000  8.6954424080e-05  8.6953132935e-05  1.291e-09
3.110000  8.5851701540e-05  8.5849216418e-05  2.485e-09
3.120000  8.4766372012e-05  8.4762719078e-05  3.653e-09
3.130000  8.3698107931e-05  8.3693322398e-05  4.786e-09
3.140000  8.2646588896e-05  8.2640714599e-05  5.874e-09
3.150000  8.1611501487e-05  8.1604590413e-05  6.911e-09
3.160000  8.0592539096e-05  8.0584650845e-05  7.888e-09
3.170000  7.9589401756e-05  7.9580602968e-05  8.799e-09
3.180000  7.8601795979e-05  7.8592159704e-05  9.636e-09
3.190000  7.7629434595e-05  7.7619039636e-05  1.039e-08
3.200000  7.6672036601e-05  7.6660966823e-05  1.107e-08
3.210000  7.5729327006e-05  7.5717670616e-05  1.166e-08
3.220000  7.4801036687e-05  7.4788885504e-05  1.215e-08
3.230000  7.3886902246e-05  7.3874350950e-05  1.255e-08
3.240000  7.2986665872e-05  7.2973811250e-05  1.285e-08
3.250000  7.2100075207e-05  7.2087015394e-05  1.306e-08
3.260000  7.1226883212e-05  7.1213716942e-05  1.317e-08
3.270000  7.0366848042e-05  7.0353673905e-05  1.317e-08
3.280000  6.9519732921e-05  6.9506648638e-05  1.308e-08
3.290000  6.8685306022e-05  6.8672407734e-05  1.290e-08
3.300000  6.7863340345e-05  6.7850721938e-05  1.262e-08
3.310000  6.7053613611e-05  6.7041366056e-05  1.225e-08
3.320000  6.6255908142e-05  6.6244118880e-05  1.179e-08
3.330000  6.5470010758e-05  6.5458763114e-05  1.125e-08
3.340000  6.4695712667e-05  6.4685085312e-05  1.063e-08
3.350000  6.3932809367e-05  6.3922875812e-05  9.934e-09
3.360000  6.3181100543e-05  6.3171928689e-05  9.172e-09
3.370000  6.2440389968e-05  6.2432041698e-05  8.348e-09
3.380000  6.1710485412e-05  6.1703016235e-05  7.469e-09
3.390000  6.0991198546e-05  6.0984657291e-05  6.541e-09
3.400000  6.0282344853e-05  6.0276773414e-05  5.571e-09
3.410000  5.9583743542e-05  5.9579176677e-05  4.567e-09
3.420000  5.8895217459e-05  5.8891682640e-05  3.535e-09
3.430000  5.8216593007e-05  5.8214110324e-05  2.483e-09
3.440000  5.7547700061e-05  5.7546282182e-05  1.418e-09
3.450000  5.6888371894e-05  5.6888024064e-05  3.478e-10
3.460000  5.6238445096e-05  5.6239165201e-05  -7.201e-10
3.470000  5.5597759499e-05  5.5599538170e-05  -1.779e-09
3.480000  5.4966158106e-05  5.4968978869e-05  -2.821e-09
3.490000  5.4343487017e-05  5.4347326497e-05  -3.839e-09
3.500000  5.3729595362e-05  5.3734423518e-05  -4.828e-09
3.510000  5.3124335232e-05  5.3130115641e-05  -5.780e-09
3.520000  5.2527561611e-05  5.2534251785e-05  -6.690e-09
3.530000  5.1939132316e-05  5.1946684057e-05  -7.552e-09
3.540000  5.1358907930e-05  5.1367267712e-05  -8.360e-09
3.550000  5.0786751741e-05  5.0795861128e-05  -9.109e-09
3.560000  5.0222529686e-05  5.0232325767e-05  -9.796e-09
3.570000  4.9666110288e-05  4.9676526142e-05  -1.042e-08
3.580000  4.9117364602e-05  4.9128329775e-05  -1.097e-08
3.590000  4.8576166158e-05  4.8587607161e-05  -1.144e-08
3.600000  4.8042390909e-05  4.8054231723e-05  -1.184e-08
3.610000  4.7515917176e-05  4.7528079769e-05  -1.216e-08
3.620000  4.6996625598e-05  4.7009030444e-05  -1.240e-08
3.630000  4.6484399081e-05  4.6496965684e-05  -1.257e-08
3.640000  4.5979122747e-05  4.5991770162e-05  -1.265e-08
3.650000  4.5480683893e-05  4.5493331241e-05  -1.265e-08
3.660000  4.4988971934e-05  4.5001538912e-05  -1.257e-08
3.670000  4.4503878368e-05  4.4516285744e-05  -1.241e-08
3.680000  4.4025296723e-05  4.4037466822e-05  -1.217e-08
3.690000  4.3553122520e-05  4.3564979691e-05  -1.186e-08
3.700000  4.3087253227e-05  4.3098724288e-05  -1.147e-08
3.710000  4.2627588218e-05  4.2638602888e-05  -1.101e-08
3.720000  4.2174028733e-05  4.2184520033e-05  -1.049e-08
3.730000  4.1726477839e-05  4.1736382470e-05  -9.905e-09
3.740000  4.1284840393e-05  4.1294099087e-05  -9.259e-09
3.750000  4.0849023001e-05  4.0857580843e-05  -8.558e-09
3.760000  4.0418933984e-05  4.0426740701e-05  -7.807e-09
3.770000  3.9994483341e-05  4.0001493564e-05  -7.010e-09
3.780000  3.9575582713e-05  3.9581756205e-05  -6.173e-09
3.790000  3.9162145352e-05  3.9167447199e-05  -5.302e-09
3.800000  3.8754086086e-05  3.8758486858e-05  -4.401e-09
3.810000  3.8351321285e-05  3.8354797158e-05  -3.476e-09
3.820000  3.7953768830e-05  3.7956301683e-05  -2.533e-09
3.830000  3.7561348085e-05  3.7562925548e-05  -1.577e-09
3.840000  3.7173979860e-05  3.7174595343e-05  -6.155e-10
3.850000  3.6791586388e-05  3.6791239065e-05  3.473e-10
3.860000  3.6414091293e-05  3.6412786056e-05  1.305e-09
3.870000  3.6041419561e-05  3.6039166943e-05  2.253e-09
3.880000  3.5673497513e-05  3.5670313579e-05  3.184e-09
3.890000  3.5310252779e-05  3.5306158982e-05  4.094e-09
3.900000  3.4951614271e-05  3.4946637286e-05  4.977e-09
3.910000  3.4597512156e-05  3.4591683681e-05  5.828e-09
3.920000  3.4247877830e-05  3.4241234362e-05  6.643e-09
3.930000  3.3902643899e-05  3.3895226483e-05  7.417e-09
3.940000  3.3561744148e-05  3.3553598107e-05  8.146e-09
3.950000  3.3225113520e-05  3.3216288162e-05  8.825e-09
3.960000  3.2892688094e-05  3.2883236399e-05  9.452e-09
3.970000  3.2564405060e-05  3.2554383348e-05  1.002e-08
3.980000  3.2240202702e-05  3.2229670289e-05  1.053e-08
3.990000  3.1920020370e-05  3.1909039209e-05  1.098e-08
4.000000  3.1603798461e-05  3.1592432774e-05  1.137e-08
4.010000  3.1291478402e-05  3.1279794299e-05  1.168e-08
4.020000  3.0983002627e-05  3.0971067718e-05  1.193e-08
4.030000  3.0678314554e-05  3.0666197567e-05  1.212e-08
4.040000  3.0377358572e-05  3.0365128952e-05  1.223e-08
4.050000  3.0080080019e-05  3.0067807539e-05  1.227e-08
4.060000  2.9786425162e-05  2.9774179534e-05  1.225e-08
4.070000  2.9496341184e-05  2.9484191664e-05  1.215e-08
4.080000  2.9209776159e-05  2.9197791175e-05  1.198e-08
4.090000  2.8926679043e-05  2.8914925813e-05  1.175e-08
4.100000  2.8646999648e-05  2.8635543823e-05  1.146e-08
4.110000  2.8370688635e-05  2.8359593943e-05  1.109e-08
4.120000  2.8097697490e-05  2.8087025397e-05  1.067e-08
